epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,25844.8,0.93163,0.40154,0.9629,0.9684,0.94055,0.97492,0.71438,0.873,0.5555,0.90693,0.00745026,0.00745026,0.00745026
104,26094.8,0.92979,0.40005,0.96387,0.96797,0.9407,0.97483,0.71433,0.87292,0.55513,0.90707,0.00742526,0.00742526,0.00742526
105,26344.5,0.92687,0.39658,0.95918,0.96812,0.94069,0.97489,0.71442,0.87287,0.55456,0.90705,0.00740026,0.00740026,0.00740026
106,26594.6,0.92872,0.39826,0.95935,0.96837,0.94049,0.97482,0.71438,0.87287,0.55436,0.90703,0.00737526,0.00737526,0.00737526
107,26844.3,0.92818,0.39892,0.96058,0.96784,0.94084,0.97482,0.71452,0.87265,0.55463,0.90693,0.00735027,0.00735027,0.00735027
108,27094.8,0.92407,0.39478,0.95902,0.96787,0.94109,0.97485,0.71455,0.87254,0.55467,0.90693,0.00732527,0.00732527,0.00732527
109,27344.8,0.92555,0.39673,0.95852,0.96761,0.94126,0.9749,0.71483,0.87235,0.55482,0.9069,0.00730027,0.00730027,0.00730027
110,27595.8,0.92396,0.39632,0.96151,0.96755,0.9415,0.97486,0.71495,0.87223,0.55522,0.9069,0.00727527,0.00727527,0.00727527
111,27845.7,0.92122,0.39494,0.95942,0.96781,0.94136,0.97492,0.71514,0.87214,0.55555,0.90693,0.00725027,0.00725027,0.00725027
112,28096.3,0.92119,0.39492,0.95803,0.96754,0.9414,0.97476,0.71533,0.87201,0.55524,0.90687,0.00722528,0.00722528,0.00722528
113,28347,0.92441,0.39754,0.96206,0.96745,0.94139,0.9749,0.7155,0.87196,0.55539,0.90701,0.00720028,0.00720028,0.00720028
114,28596.9,0.92415,0.39492,0.95998,0.96759,0.94127,0.9749,0.71542,0.87198,0.55593,0.90706,0.00717528,0.00717528,0.00717528
115,28848.2,0.92154,0.39381,0.95893,0.96755,0.94158,0.97489,0.7155,0.87198,0.55581,0.90716,0.00715029,0.00715029,0.00715029
116,29098.2,0.91855,0.39291,0.95888,0.96776,0.94166,0.975,0.71554,0.87195,0.55614,0.90718,0.00712529,0.00712529,0.00712529
117,29349,0.91579,0.39012,0.95576,0.96778,0.94164,0.97502,0.71555,0.87193,0.55543,0.9072,0.00710029,0.00710029,0.00710029
118,29599.1,0.91717,0.39249,0.95433,0.96768,0.9417,0.97503,0.71553,0.87203,0.55529,0.90717,0.00707529,0.00707529,0.00707529
119,29849.7,0.91562,0.38985,0.95757,0.96767,0.94185,0.97512,0.71555,0.87215,0.55425,0.90719,0.0070503,0.0070503,0.0070503
120,30100.1,0.913,0.38782,0.95703,0.96727,0.9421,0.97507,0.71556,0.87201,0.55449,0.90718,0.0070253,0.0070253,0.0070253
121,30349.6,0.91184,0.39035,0.95729,0.96744,0.94187,0.97511,0.71572,0.87214,0.55382,0.90731,0.0070003,0.0070003,0.0070003
122,30600.1,0.90959,0.3878,0.95777,0.96724,0.94207,0.97512,0.71575,0.87213,0.55339,0.90739,0.0069753,0.0069753,0.0069753
123,30850,0.90946,0.38617,0.9541,0.9674,0.94229,0.9752,0.71581,0.87213,0.55326,0.90734,0.00695031,0.00695031,0.00695031
124,31100.7,0.91294,0.38721,0.95938,0.96799,0.94196,0.97522,0.71581,0.87219,0.55288,0.90744,0.00692531,0.00692531,0.00692531
125,31351.2,0.90696,0.38588,0.95626,0.96801,0.94182,0.9752,0.7157,0.87215,0.55262,0.90746,0.00690031,0.00690031,0.00690031
126,31601.5,0.90852,0.38707,0.95525,0.96835,0.94171,0.97528,0.71573,0.87219,0.5519,0.90757,0.00687531,0.00687531,0.00687531
127,31852,0.90654,0.38694,0.95521,0.96813,0.94184,0.97531,0.71561,0.87237,0.55208,0.90766,0.00685032,0.00685032,0.00685032
128,32102.3,0.90283,0.38401,0.95045,0.96746,0.94208,0.97523,0.71525,0.87259,0.55239,0.90769,0.00682532,0.00682532,0.00682532
129,32353.1,0.8996,0.38117,0.94926,0.96805,0.94146,0.9751,0.71504,0.87266,0.55279,0.90768,0.00680032,0.00680032,0.00680032
130,32603.5,0.89875,0.37961,0.94757,0.96791,0.94159,0.97502,0.71479,0.87264,0.55269,0.90768,0.00677532,0.00677532,0.00677532
131,32853,0.9007,0.37963,0.95231,0.9673,0.94182,0.97507,0.71473,0.87263,0.55201,0.90773,0.00675033,0.00675033,0.00675033
132,33103.6,0.90378,0.3812,0.95472,0.96715,0.94173,0.97493,0.71449,0.87271,0.55183,0.90778,0.00672533,0.00672533,0.00672533
133,33353.3,0.90204,0.38155,0.9486,0.96697,0.94199,0.97499,0.71446,0.8727,0.55208,0.90779,0.00670033,0.00670033,0.00670033
134,33604,0.89787,0.37876,0.951,0.96758,0.94153,0.97489,0.71449,0.87281,0.55183,0.90783,0.00667533,0.00667533,0.00667533
135,33853.8,0.89752,0.37971,0.94974,0.96677,0.94193,0.97484,0.71435,0.87282,0.55226,0.90784,0.00665034,0.00665034,0.00665034
136,34103.3,0.90028,0.38049,0.95288,0.96679,0.94186,0.97478,0.71422,0.87288,0.55184,0.90789,0.00662534,0.00662534,0.00662534
137,34353.3,0.89668,0.38025,0.9526,0.9673,0.94176,0.97483,0.71428,0.87297,0.55119,0.90801,0.00660034,0.00660034,0.00660034
138,34603.5,0.8951,0.37818,0.94911,0.96772,0.94157,0.9748,0.7144,0.87293,0.5512,0.90808,0.00657534,0.00657534,0.00657534
139,34853.2,0.89368,0.3792,0.95226,0.96781,0.94153,0.97476,0.71442,0.87292,0.55083,0.90812,0.00655035,0.00655035,0.00655035
140,35103.7,0.89382,0.3786,0.95433,0.96736,0.94179,0.97484,0.71438,0.87296,0.55044,0.90827,0.00652535,0.00652535,0.00652535
141,35354,0.88884,0.37517,0.95067,0.9679,0.94144,0.97482,0.71441,0.87293,0.55008,0.90838,0.00650035,0.00650035,0.00650035
142,35604.9,0.88879,0.37459,0.94676,0.96775,0.94154,0.97477,0.71429,0.87307,0.54943,0.90837,0.00647535,0.00647535,0.00647535
143,35855.3,0.8915,0.37764,0.95342,0.96746,0.94172,0.9747,0.7143,0.87316,0.54879,0.90852,0.00645035,0.00645035,0.00645035
144,36106.6,0.89139,0.37467,0.95078,0.96733,0.94156,0.97463,0.71435,0.87312,0.54762,0.90854,0.00642536,0.00642536,0.00642536
145,36354.2,0.88965,0.37639,0.94958,0.96701,0.94169,0.97465,0.71439,0.87314,0.54689,0.90862,0.00640036,0.00640036,0.00640036
146,36604.2,0.88299,0.3722,0.94912,0.9671,0.94162,0.97471,0.71441,0.8732,0.5459,0.90874,0.00637536,0.00637536,0.00637536
147,36854.7,0.89003,0.37645,0.94483,0.96696,0.94158,0.97464,0.71441,0.8732,0.54501,0.90875,0.00635037,0.00635037,0.00635037
148,37105,0.8872,0.37257,0.94886,0.96691,0.94175,0.97478,0.71458,0.87325,0.54469,0.90881,0.00632537,0.00632537,0.00632537
